params,f1_score,erro
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'sgd', 'learning_rate_init': 0.01, 'max_iter': 1500}",0.6410667782738095,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'sgd', 'learning_rate_init': 0.01, 'max_iter': 2000}",0.6410667782738095,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'sgd', 'learning_rate_init': 0.1, 'max_iter': 500}",0.632719494047619,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'sgd', 'learning_rate_init': 0.1, 'max_iter': 1000}",0.632719494047619,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'sgd', 'learning_rate_init': 0.1, 'max_iter': 1500}",0.632719494047619,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'sgd', 'learning_rate_init': 0.1, 'max_iter': 2000}",0.632719494047619,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'adam', 'learning_rate_init': 0.0001, 'max_iter': 500}",0.6542207792207791,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'adam', 'learning_rate_init': 0.0001, 'max_iter': 1000}",0.6413170975309502,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'adam', 'learning_rate_init': 0.0001, 'max_iter': 1500}",0.6370261437908497,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'adam', 'learning_rate_init': 0.0001, 'max_iter': 2000}",0.6370261437908497,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'adam', 'learning_rate_init': 0.001, 'max_iter': 500}",0.6372538350368269,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'adam', 'learning_rate_init': 0.001, 'max_iter': 1000}",0.6372538350368269,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'adam', 'learning_rate_init': 0.001, 'max_iter': 1500}",0.6372538350368269,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'adam', 'learning_rate_init': 0.001, 'max_iter': 2000}",0.6372538350368269,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'adam', 'learning_rate_init': 0.01, 'max_iter': 500}",0.6404137529137529,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'adam', 'learning_rate_init': 0.01, 'max_iter': 1000}",0.6404137529137529,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'adam', 'learning_rate_init': 0.01, 'max_iter': 1500}",0.6404137529137529,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'adam', 'learning_rate_init': 0.01, 'max_iter': 2000}",0.6404137529137529,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'adam', 'learning_rate_init': 0.1, 'max_iter': 500}",0.6708848380535127,
"{'hidden_layer_sizes': (118,), 'activation': 'logistic', 'solver': 'adam', 'learning_rate_init': 0.1, 'max_iter': 1000}",0.6708848380535127,
